TableName , Field Name , Data Type , IsNull , Is Primary Key , Type Key ,Foreign Key , Multiple FK Type
"Activity","PMT_ID","varchar(100)","not null","primary key","","",""
"Activity","PMT_Parent","varchar(100)","nullable","","","entity.Claim",""
"Activity","AbstractReadyFlag_Ext","bool","nullable","","","",""
"Activity","ActivityClass","varchar(5)","not null","","typekey.ActivityClass","",""
"Activity","ActivityPattern","varchar(60)","not null","","","",""
"Activity","ApprovalIssue","varchar(255)","nullable","","","",""
"Activity","ApprovalRationale","varchar(255)","nullable","","","",""
"Activity","Approved","bool","nullable","","","",""
"Activity","AssignmentDate","timestamp","nullable","","","",""
"Activity","AssignmentStatus","varchar(17)","not null","","typekey.AssignmentStatus","",""
"Activity","AutoGenerated","bool","not null","","","",""
"Activity","AutopilotHandlingDecision","varchar(22)","nullable","","typekey.AutopilotHandlingDecision","",""
"Activity","AutopilotId","varchar(255)","nullable","","","",""
"Activity","AutopilotPurpose","varchar(28)","nullable","","typekey.AutopilotPurpose","",""
"Activity","CloseDate","timestamp","nullable","","","",""
"Activity","Command","varchar(1333)","nullable","","","",""
"Activity","Description","varchar(4000)","nullable","","","",""
"Activity","DocumentTemplate","varchar(255)","nullable","","","",""
"Activity","EmailTemplate","varchar(255)","nullable","","","",""
"Activity","EndDate","timestamp","nullable","","","",""
"Activity","Escalated","bool","not null","","","",""
"Activity","EscalationDate","timestamp","nullable","","","",""
"Activity","ExternallyOwned","bool","not null","","","",""
"Activity","Importance","varchar(13)","nullable","","typekey.ImportanceLevel","",""
"Activity","IsManualCreated_Ext","bool","nullable","","","",""
"Activity","LastViewedDate","timestamp","nullable","","","",""
"Activity","LoadCommandID","int8","nullable","","","",""
"Activity","LogicalName","varchar(255)","nullable","","","",""
"Activity","Mandatory","bool","not null","","","",""
"Activity","Priority","varchar(6)","not null","","typekey.Priority","",""
"Activity","Recurring","bool","not null","","","",""
"Activity","ShortSubject","varchar(10)","nullable","","","",""
"Activity","Status","varchar(8)","not null","","typekey.ActivityStatus","",""
"Activity","Subject","varchar(600)","nullable","","","",""
"Activity","TargetDate","timestamp","nullable","","","",""
"Activity","Type","varchar(16)","not null","","typekey.ActivityType","",""
"Activity","ValidationLevel","varchar(8)","nullable","","typekey.ValidationLevel","",""
"Activity","VeriskCSAlertGroup_Acc","varchar(255)","nullable","","","",""
"Activity","VeriskCSAlertIcon_Acc","varchar(255)","nullable","","","",""
"Activity","payeeName_Ext","varchar(50)","nullable","","","",""
"Activity","AssignedByUser","varchar(100)","nullable","","","entity.User",""
"Activity","AssignedGroup","varchar(100)","nullable","","","entity.Group",""
"Activity","AssignedQueue","varchar(100)","nullable","","","entity.AssignableQueue",""
"Activity","AssignedUser","varchar(100)","nullable","","","entity.User",""
"Activity","BulkInvoice","varchar(100)","nullable","","","entity.BulkInvoice",""
"Activity","ClaimContact","varchar(100)","nullable","","","entity.ClaimContact",""
"Activity","CloseUser","varchar(100)","nullable","","","entity.User",""
"Activity","Exposure","varchar(100)","nullable","","","entity.Exposure",""
"Activity","ExternalOwnerCC","varchar(100)","nullable","","","entity.ClaimContact",""
"Activity","Matter","varchar(100)","nullable","","","entity.Matter",""
"Activity","PreviousGroup","varchar(100)","nullable","","","entity.Group",""
"Activity","PreviousQueue","varchar(100)","nullable","","","entity.AssignableQueue",""
"Activity","PreviousUser","varchar(100)","nullable","","","entity.User",""
"Activity","RelatedActivity","varchar(100)","nullable","","","entity.Activity",""
"Activity","ServiceRequest","varchar(100)","nullable","","","entity.ServiceRequest",""
"Activity","TpaOverSightID_Ext","varchar(100)","nullable","","","entity.TPAOversight_Ext",""
"Activity","TransactionSet","varchar(100)","nullable","","","FK to the table specified in TransactionSet_Type column",""
"Activity","TransactionSet_Type","varchar(30)","nullable","","","","CheckSet, RecoveryReserveSet, RecoverySet, ReserveSet"
"Activity","PMT_PayloadId","varchar(256)","not null","","","",""
"ActivityDocument","PMT_ID","varchar(100)","not null","primary key","","",""
"ActivityDocument","PMT_Parent","varchar(100)","nullable","","","entity.Activity",""
"ActivityDocument","AbstractReadyFlag_Ext","bool","nullable","","","",""
"ActivityDocument","LoadCommandID","int8","nullable","","","",""
"ActivityDocument","Document","varchar(100)","nullable","","","entity.Document",""
"ActivityDocument","PMT_PayloadId","varchar(256)","not null","","","",""
"AddnlTripAccommodation","PMT_ID","varchar(100)","not null","primary key","","",""
"AddnlTripAccommodation","PMT_Parent","varchar(100)","nullable","","","entity.TripAccommodation",""
"AddnlTripAccommodation","AgentFees","numeric(18,2)","nullable","","","",""
"AddnlTripAccommodation","Assessment","varchar(7)","nullable","","typekey.AssessmentAction","",""
"AddnlTripAccommodation","EndDate","timestamp","nullable","","","",""
"AddnlTripAccommodation","LoadCommandID","int8","nullable","","","",""
"AddnlTripAccommodation","OtherFees","numeric(18,2)","nullable","","","",""
"AddnlTripAccommodation","PaidAmount","numeric(18,2)","nullable","","","",""
"AddnlTripAccommodation","PropertyName","varchar(250)","nullable","","","",""
"AddnlTripAccommodation","ReasonForAddnlAccommodation","varchar(250)","nullable","","","",""
"AddnlTripAccommodation","ReasonForDenial","varchar(250)","nullable","","","",""
"AddnlTripAccommodation","StartDate","timestamp","nullable","","","",""
"AddnlTripAccommodation","Address","varchar(100)","nullable","","","entity.Address",""
"AddnlTripAccommodation","PMT_PayloadId","varchar(256)","not null","","","",""
"AddnlTripSegment","PMT_ID","varchar(100)","not null","primary key","","",""
"AddnlTripSegment","PMT_Parent","varchar(100)","nullable","","","entity.TripSegment",""
"AddnlTripSegment","AgentFees","numeric(18,2)","nullable","","","",""
"AddnlTripSegment","Assessment","varchar(7)","nullable","","typekey.AssessmentAction","",""
"AddnlTripSegment","CarrierName","varchar(250)","nullable","","","",""
"AddnlTripSegment","CarrierNumber","varchar(60)","nullable","","","",""
"AddnlTripSegment","EndDate","timestamp","nullable","","","",""
"AddnlTripSegment","LoadCommandID","int8","nullable","","","",""
"AddnlTripSegment","OtherFees","numeric(18,2)","nullable","","","",""
"AddnlTripSegment","PaidAmount","numeric(18,2)","nullable","","","",""
"AddnlTripSegment","PortOfDisembarkation","varchar(60)","nullable","","","",""
"AddnlTripSegment","PortOfEmbarkation","varchar(60)","nullable","","","",""
"AddnlTripSegment","PortOfTransit","varchar(100)","nullable","","","",""
"AddnlTripSegment","ReasonForAddnlTravel","varchar(250)","nullable","","","",""
"AddnlTripSegment","ReasonForDenial","varchar(250)","nullable","","","",""
"AddnlTripSegment","StartDate","timestamp","nullable","","","",""
"AddnlTripSegment","TransportType","varchar(11)","nullable","","typekey.TransportType","",""
"AddnlTripSegment","PMT_PayloadId","varchar(256)","not null","","","",""
"Address","PMT_ID","varchar(100)","not null","primary key","","",""
"Address","AbstractReadyFlag_Ext","bool","nullable","","","",""
"Address","AddressBookUID","varchar(64)","nullable","","","",""
"Address","AddressLine1","varchar(200)","nullable","","","",""
"Address","AddressLine1Kanji","varchar(60)","nullable","","","",""
"Address","AddressLine2","varchar(200)","nullable","","","",""
"Address","AddressLine2Kanji","varchar(60)","nullable","","","",""
"Address","AddressLine3","varchar(200)","nullable","","","",""
"Address","AddressType","varchar(8)","nullable","","typekey.AddressType","",""
"Address","BatchGeocode","bool","not null","","","",""
"Address","CEDEX","bool","nullable","","","",""
"Address","CEDEXBureau","varchar(2)","nullable","","","",""
"Address","City","varchar(60)","nullable","","","",""
"Address","CityKanji","varchar(60)","nullable","","","",""
"Address","Country","varchar(22)","nullable","","typekey.Country","",""
"Address","County","varchar(60)","nullable","","","",""
"Address","Description","varchar(255)","nullable","","","",""
"Address","ExternalLinkID","varchar(64)","nullable","","","",""
"Address","ExtraField1","varchar(60)","nullable","","","",""
"Address","ExtraField10","varchar(60)","nullable","","","",""
"Address","ExtraField2","varchar(60)","nullable","","","",""
"Address","ExtraField3","varchar(60)","nullable","","","",""
"Address","ExtraField4","varchar(60)","nullable","","","",""
"Address","ExtraField5","varchar(60)","nullable","","","",""
"Address","ExtraField6","varchar(60)","nullable","","","",""
"Address","ExtraField7","varchar(60)","nullable","","","",""
"Address","ExtraField8","varchar(60)","nullable","","","",""
"Address","ExtraField9","varchar(60)","nullable","","","",""
"Address","GeocodeStatus","varchar(10)","nullable","","typekey.GeocodeStatus","",""
"Address","LoadCommandID","int8","nullable","","","",""
"Address","PostalCode","varchar(60)","nullable","","","",""
"Address","SpatialPoint","varchar(4000)","nullable","","","",""
"Address","State","varchar(17)","nullable","","typekey.State","",""
"Address","ValidUntil","timestamp","nullable","","","",""
"Address","PMT_PayloadId","varchar(256)","not null","","","",""
"Adjudicator","PMT_ID","varchar(100)","not null","primary key","","",""
"Adjudicator","AbstractReadyFlag_Ext","bool","nullable","","","",""
"Adjudicator","AddressBookUID","varchar(64)","nullable","","","",""
"Adjudicator","AdjudicativeDomain","varchar(9)","nullable","","typekey.AdjudicativeDomain","",""
"Adjudicator","AdjudicatorLicense","varchar(30)","nullable","","","",""
"Adjudicator","ApprovalExpDate_Ext","timestamp","nullable","","","",""
"Adjudicator","ApprovalStatus_Ext","varchar(14)","nullable","","typekey.ApprovalStatOfContact_Ext","",""
"Adjudicator","AssignmentOfBenefitsInd_Ext","bool","nullable","","","",""
"Adjudicator","AttorneyRepresentative_Ext","varchar(50)","nullable","","","",""
"Adjudicator","AuthorizationID","varchar(64)","nullable","","","",""
"Adjudicator","CellPhone","varchar(30)","nullable","","","",""
"Adjudicator","CellPhoneCountry","varchar(11)","nullable","","typekey.PhoneCountryCode","",""
"Adjudicator","CellPhoneExtension","varchar(60)","nullable","","","",""
"Adjudicator","ClaimUpdatesViaEmailOptIn","varchar(16)","nullable","","typekey.PreferredEmailType","",""
"Adjudicator","ClaimUpdatesViaTextOptIn","varchar(11)","nullable","","typekey.PreferredPhoneNumberType","",""
"Adjudicator","ClaimantIDType","varchar(1)","nullable","","typekey.ClaimantIDType","",""
"Adjudicator","Coverage1_Ext","bool","nullable","","","",""
"Adjudicator","DateOfBirth","timestamp","nullable","","","",""
"Adjudicator","DateOfDeath_Ext","timestamp","nullable","","","",""
"Adjudicator","Defense_Ext","bool","nullable","","","",""
"Adjudicator","EducationLevel","varchar(2)","nullable","","","",""
"Adjudicator","EmailAddress1","varchar(60)","nullable","","","",""
"Adjudicator","EmailAddress2","varchar(60)","nullable","","","",""
"Adjudicator","EmployeeSecurityID","varchar(15)","nullable","","","",""
"Adjudicator","FaxPhone","varchar(30)","nullable","","","",""
"Adjudicator","FaxPhoneCountry","varchar(11)","nullable","","typekey.PhoneCountryCode","",""
"Adjudicator","FaxPhoneExtension","varchar(60)","nullable","","","",""
"Adjudicator","FirstName","varchar(255)","nullable","","","",""
"Adjudicator","FirstNameKanji","varchar(255)","nullable","","","",""
"Adjudicator","FormerName","varchar(255)","nullable","","","",""
"Adjudicator","Gender","varchar(11)","nullable","","typekey.GenderType","",""
"Adjudicator","GreenCardNumber","varchar(15)","nullable","","","",""
"Adjudicator","HomePhone","varchar(30)","nullable","","","",""
"Adjudicator","HomePhoneCountry","varchar(11)","nullable","","typekey.PhoneCountryCode","",""
"Adjudicator","HomePhoneExtension","varchar(60)","nullable","","","",""
"Adjudicator","Is1099Rep_Ext","bool","nullable","","","",""
"Adjudicator","IsOfacCheckPositive_Ext","bool","nullable","","","",""
"Adjudicator","IsPrimaryClaimant_Ext","bool","nullable","","","",""
"Adjudicator","IsTranscardCheckPositive_Ext","bool","nullable","","","",""
"Adjudicator","JurisdictionAssignedID","varchar(15)","nullable","","","",""
"Adjudicator","LastName","varchar(255)","nullable","","","",""
"Adjudicator","LastNameKanji","varchar(255)","nullable","","","",""
"Adjudicator","LicenseNumber","varchar(50)","nullable","","","",""
"Adjudicator","LicenseState","varchar(18)","nullable","","typekey.Jurisdiction","",""
"Adjudicator","LoadCommandID","int8","nullable","","","",""
"Adjudicator","MainOffice_Ext","varchar(7)","nullable","","typekey.YesNo","",""
"Adjudicator","MaritalStatus","varchar(9)","nullable","","typekey.MaritalStatus","",""
"Adjudicator","MedicareEligible_Ext","varchar(7)","nullable","","typekey.YesNo","",""
"Adjudicator","MiddleName","varchar(255)","nullable","","","",""
"Adjudicator","Name","varchar(255)","nullable","","","",""
"Adjudicator","NameKanji","varchar(255)","nullable","","","",""
"Adjudicator","NotElgblOtherReason_Ext","varchar(255)","nullable","","","",""
"Adjudicator","NotElgbleSCHIPRsn_Ext","varchar(26)","nullable","","typekey.NotElgbleSCHIPReason_Ext","",""
"Adjudicator","NotSCHpTxt_Ext","varchar(200)","nullable","","","",""
"Adjudicator","Notes","text","nullable","","","",""
"Adjudicator","NumDependents","int4","nullable","","","",""
"Adjudicator","NumDependentsU18","int4","nullable","","","",""
"Adjudicator","NumDependentsU25","int4","nullable","","","",""
"Adjudicator","Occupation","varchar(80)","nullable","","","",""
"Adjudicator","OrganizationType","varchar(12)","nullable","","typekey.OrganizationType","",""
"Adjudicator","PanelStatusComment_Ext","text","nullable","","","",""
"Adjudicator","PanelStatus_Ext","varchar(14)","nullable","","typekey.PanelStatus_Ext","",""
"Adjudicator","Particle","varchar(255)","nullable","","","",""
"Adjudicator","PassportNumber","varchar(15)","nullable","","","",""
"Adjudicator","PendingLinkMessage","bool","not null","","","",""
"Adjudicator","PolicySystemId","varchar(256)","nullable","","","",""
"Adjudicator","PreferredCurrency","varchar(3)","nullable","","typekey.Currency","",""
"Adjudicator","Prefix","varchar(3)","nullable","","typekey.NamePrefix","",""
"Adjudicator","PrimaryLanguage","varchar(5)","nullable","","typekey.LanguageType","",""
"Adjudicator","PrimaryLocale","varchar(5)","nullable","","typekey.LocaleType","",""
"Adjudicator","PrimaryPhone","varchar(6)","nullable","","typekey.PrimaryPhoneType","",""
"Adjudicator","PronounAggregate","varchar(12)","nullable","","typekey.PronounAggregateType","",""
"Adjudicator","PronounObjectiveText","varchar(30)","nullable","","","",""
"Adjudicator","PronounPossessiveText","varchar(30)","nullable","","","",""
"Adjudicator","PronounSubjectiveText","varchar(30)","nullable","","","",""
"Adjudicator","PublicID","varchar(64)","not null","","","",""
"Adjudicator","Rationale_Ext","text","nullable","","","",""
"Adjudicator","ReasonFrNtMediElgibl_Ext","varchar(255)","nullable","","","",""
"Adjudicator","ReasonNotMediElgbl_Ext","varchar(25)","nullable","","typekey.ReasonNoMedicareElgble_Ext","",""
"Adjudicator","RepByAttOrAdj_Ext","varchar(7)","nullable","","typekey.YesNo","",""
"Adjudicator","ReptTypeOf1099_Ext","varchar(23)","nullable","","typekey.ReportableTypeOf1099_Ext","",""
"Adjudicator","RetainDate_Ext","timestamp","nullable","","","",""
"Adjudicator","SSNReleaseAuthorized","bool","nullable","","","",""
"Adjudicator","Score","int4","nullable","","","",""
"Adjudicator","SexAssignedAtBirth","varchar(6)","nullable","","typekey.SexAssignedAtBirthType","",""
"Adjudicator","SpecialtyType","varchar(16)","nullable","","typekey.SpecialtyType","",""
"Adjudicator","Suffix","varchar(7)","nullable","","typekey.NameSuffix","",""
"Adjudicator","TCREPValue_Ext","varchar(7)","nullable","","typekey.YesNo","",""
"Adjudicator","TaxExemptionsEntitled","numeric(2,0)","nullable","","","",""
"Adjudicator","TaxFilingStatus","varchar(16)","nullable","","typekey.TaxFilingStatusType","",""
"Adjudicator","TaxID","varchar(30)","nullable","","","",""
"Adjudicator","TaxStatus","varchar(11)","nullable","","typekey.TaxStatus","",""
"Adjudicator","VendorNumber","varchar(60)","nullable","","","",""
"Adjudicator","VendorType","varchar(16)","nullable","","typekey.VendorType","",""
"Adjudicator","VisaNumber","varchar(15)","nullable","","","",""
"Adjudicator","W9Received","bool","nullable","","","",""
"Adjudicator","W9ReceivedDate","timestamp","nullable","","","",""
"Adjudicator","W9ValidFrom","timestamp","nullable","","","",""
"Adjudicator","W9ValidTo","timestamp","nullable","","","",""
"Adjudicator","WithholdingRate","numeric(4,1)","nullable","","","",""
"Adjudicator","WorkPhone","varchar(30)","nullable","","","",""
"Adjudicator","WorkPhoneCountry","varchar(11)","nullable","","typekey.PhoneCountryCode","",""
"Adjudicator","WorkPhoneExtension","varchar(60)","nullable","","","",""
"Adjudicator","PrimaryAddress","varchar(100)","nullable","","","entity.Address",""
"Adjudicator","PMT_PayloadId","varchar(256)","not null","","","",""
"AggregateLimit","PMT_ID","varchar(100)","not null","primary key","","",""
"AggregateLimit","PMT_Parent","varchar(100)","nullable","","","entity.PolicyPeriod",""
"AggregateLimit","AbstractReadyFlag_Ext","bool","nullable","","","",""
"AggregateLimit","AggLimitCalcCriteria","varchar(31)","not null","","typekey.AggLimitCalcCriteria","",""
"AggregateLimit","Comments","varchar(255)","nullable","","","",""
"AggregateLimit","LimitAmount","numeric(18,2)","not null","","","",""
"AggregateLimit","LimitType","varchar(12)","not null","","typekey.AggregateLimitType","",""
"AggregateLimit","LoadCommandID","int8","nullable","","","",""
"AggregateLimit","Valid","bool","not null","","","",""
"AggregateLimit","ValueType","varchar(10)","not null","","typekey.AggregateType","",""
"AggregateLimit","PMT_PayloadId","varchar(256)","not null","","","",""
"AggregateRetention_Ext","PMT_ID","varchar(100)","not null","primary key","","",""
"AggregateRetention_Ext","PMT_Parent","varchar(100)","nullable","","","entity.Policy",""
"AggregateRetention_Ext","ARIdentifierID","int4","nullable","","","",""
"AggregateRetention_Ext","AbstractReadyFlag_Ext","bool","nullable","","","",""
"AggregateRetention_Ext","ApplyRetentTo","varchar(17)","nullable","","typekey.ApplyRetentionTo_Ext","",""
"AggregateRetention_Ext","DateModified","timestamp","nullable","","","",""
"AggregateRetention_Ext","LoadCommandID","int8","nullable","","","",""
"AggregateRetention_Ext","Modified","varchar(7)","nullable","","typekey.YesNo","",""
"AggregateRetention_Ext","ModifiedBy","text","nullable","","","",""
"AggregateRetention_Ext","RetentionAmount","numeric(18,2)","nullable","","","",""
"AggregateRetention_Ext","RetentionRemaining","numeric(18,2)","nullable","","","",""
"AggregateRetention_Ext","RetentionType","varchar(20)","nullable","","typekey.AggPolicyCovRetenType_Ext","",""
"AggregateRetention_Ext","SystemAppliedRetention","numeric(18,2)","nullable","","","",""
"AggregateRetention_Ext","UserAppliedRetention","numeric(18,2)","nullable","","","",""
"AggregateRetention_Ext","WaiveRetention","bool","nullable","","","",""
"AggregateRetention_Ext","PMT_PayloadId","varchar(256)","not null","","","",""
"Alert_Acc","PMT_ID","varchar(100)","not null","primary key","","",""
"Alert_Acc","PMT_Parent","varchar(100)","nullable","","","entity.RiskUpdate_Acc",""
"Alert_Acc","AlertGroup","varchar(255)","nullable","","","",""
"Alert_Acc","Code","varchar(255)","nullable","","","",""
"Alert_Acc","Description","varchar(255)","nullable","","","",""
"Alert_Acc","LoadCommandID","int8","nullable","","","",""
"Alert_Acc","PMT_PayloadId","varchar(256)","not null","","","",""
"AllocatedClaimNumber","PMT_ID","varchar(100)","not null","primary key","","",""
"AllocatedClaimNumber","PMT_Parent","varchar(100)","nullable","","","entity.Claim",""
"AllocatedClaimNumber","ClaimNumber","varchar(40)","not null","","","",""
"AllocatedClaimNumber","PMT_PayloadId","varchar(256)","not null","","","",""
"Answer","PMT_ID","varchar(100)","not null","primary key","","",""
"Answer","PMT_Parent","varchar(100)","nullable","","","entity.AnswerSet",""
"Answer","BooleanAnswer","bool","nullable","","","",""
"Answer","DateAnswer","timestamp","nullable","","","",""
"Answer","IntegerAnswer","int4","nullable","","","",""
"Answer","LoadCommandID","int8","nullable","","","",""
"Answer","TextAnswer","varchar(1333)","nullable","","","",""
"Answer","ChoiceAnswer","varchar(100)","nullable","","","entity.QuestionChoice",""
"Answer","Question","varchar(100)","nullable","","","entity.Question",""
"Answer","PMT_PayloadId","varchar(256)","not null","","","",""
"AnswerSet","PMT_ID","varchar(100)","not null","primary key","","",""
"AnswerSet","LoadCommandID","int8","nullable","","","",""
"AnswerSet","QuestionSet","varchar(100)","nullable","","","entity.QuestionSet",""
"AnswerSet","PMT_PayloadId","varchar(256)","not null","","","",""
"ArchPursuingCRTReason_Ext","PMT_ID","varchar(100)","not null","primary key","","",""
"ArchPursuingCRTReason_Ext","PMT_Parent","varchar(100)","nullable","","","entity.Claim",""
"ArchPursuingCRTReason_Ext","DueToArchPursuingCRT","varchar(18)","nullable","","typekey.DueToArchPursuingCRT_Ext","",""
"ArchPursuingCRTReason_Ext","LoadCommandID","int8","nullable","","","",""
"ArchPursuingCRTReason_Ext","PMT_PayloadId","varchar(256)","not null","","","",""
"ArchPursuingCRT_Ext","PMT_ID","varchar(100)","not null","primary key","","",""
"ArchPursuingCRT_Ext","PMT_Parent","varchar(100)","nullable","","","entity.Claim",""
"ArchPursuingCRT_Ext","IsArchPurusingToWho","varchar(20)","nullable","","typekey.PolicyHolderRole_Ext","",""
"ArchPursuingCRT_Ext","LoadCommandID","int8","nullable","","","",""
"ArchPursuingCRT_Ext","PMT_PayloadId","varchar(256)","not null","","","",""
"ArchReceiveCRTReason_Ext","PMT_ID","varchar(100)","not null","primary key","","",""
"ArchReceiveCRTReason_Ext","PMT_Parent","varchar(100)","nullable","","","entity.Claim",""
"ArchReceiveCRTReason_Ext","DueToArchReceiveCRT","varchar(18)","nullable","","typekey.DueToArchPursuingCRT_Ext","",""
"ArchReceiveCRTReason_Ext","LoadCommandID","int8","nullable","","","",""
"ArchReceiveCRTReason_Ext","PMT_PayloadId","varchar(256)","not null","","","",""
"ArchReceiveCRT_Ext","PMT_ID","varchar(100)","not null","primary key","","",""
"ArchReceiveCRT_Ext","PMT_Parent","varchar(100)","nullable","","","entity.Claim",""
"ArchReceiveCRT_Ext","IsArchReceiveCRT","varchar(20)","nullable","","typekey.PolicyHolderRole_Ext","",""
"ArchReceiveCRT_Ext","LoadCommandID","int8","nullable","","","",""
"ArchReceiveCRT_Ext","PMT_PayloadId","varchar(256)","not null","","","",""
"AssessmentContentItem","PMT_ID","varchar(100)","not null","primary key","","",""
"AssessmentContentItem","PMT_Parent","varchar(100)","nullable","","","FK to the table specified in PMT_Parent_Type column",""
"AssessmentContentItem","PMT_Parent_Type","varchar(30)","nullable","","","","APDIncident, BaggageIncident, CyberIncident_Ext, DwellingIncident, EAIncident_Ext, FixedPropertyIncident, Incident, InjuryIncident, LivingExpensesIncident, MobilePropertyIncident, OtherStructureIncident, ProLiabilityIncident_Ext, PropertyContentsIncident, PropertyIncident, TripIncident, VehicleIncident"
"AssessmentContentItem","AbstractReadyFlag_Ext","bool","nullable","","","",""
"AssessmentContentItem","Action","varchar(10)","nullable","","typekey.AssessmentContentAction","",""
"AssessmentContentItem","AmountAfterLimit","numeric(18,2)","nullable","","","",""
"AssessmentContentItem","Brand","varchar(255)","nullable","","","",""
"AssessmentContentItem","ContentCategory","varchar(16)","nullable","","typekey.ContentLineItemCategory","",""
"AssessmentContentItem","ContentSchedule","varchar(10)","nullable","","typekey.ContentLineItemSchedule","",""
"AssessmentContentItem","DateAcquired","timestamp","nullable","","","",""
"AssessmentContentItem","Depreciation","numeric(18,2)","nullable","","","",""
"AssessmentContentItem","DepreciationPercentage","numeric(4,1)","nullable","","","",""
"AssessmentContentItem","Description","varchar(255)","nullable","","","",""
"AssessmentContentItem","IncidentOrder","int4","nullable","","","",""
"AssessmentContentItem","ItemComment","varchar(255)","nullable","","","",""
"AssessmentContentItem","LoadCommandID","int8","nullable","","","",""
"AssessmentContentItem","NumberOfItems","int4","nullable","","","",""
"AssessmentContentItem","ProofOfOwnershipProvided","bool","nullable","","","",""
"AssessmentContentItem","PurchaseCost","numeric(18,2)","nullable","","","",""
"AssessmentContentItem","ReplacementValue","numeric(18,2)","nullable","","","",""
"AssessmentContentItem","Salvage","numeric(18,2)","nullable","","","",""
"AssessmentContentItem","VehicleCategory","varchar(10)","nullable","","typekey.VehicleLineItemCategory","",""
"AssessmentContentItem","AssessmentSource","varchar(100)","nullable","","","entity.AssessmentSource",""
"AssessmentContentItem","PMT_PayloadId","varchar(256)","not null","","","",""
"AssessmentItem","PMT_ID","varchar(100)","not null","primary key","","",""
"AssessmentItem","PMT_Parent","varchar(100)","nullable","","","FK to the table specified in PMT_Parent_Type column",""
"AssessmentItem","PMT_Parent_Type","varchar(30)","nullable","","","","APDIncident, BaggageIncident, CyberIncident_Ext, DwellingIncident, EAIncident_Ext, FixedPropertyIncident, Incident, InjuryIncident, LivingExpensesIncident, MobilePropertyIncident, OtherStructureIncident, ProLiabilityIncident_Ext, PropertyContentsIncident, PropertyIncident, TripIncident, VehicleIncident"
"AssessmentItem","AbstractReadyFlag_Ext","bool","nullable","","","",""
"AssessmentItem","Action","varchar(7)","nullable","","typekey.AssessmentAction","",""
"AssessmentItem","Description","varchar(255)","nullable","","","",""
"AssessmentItem","EstimateAmount","numeric(18,2)","nullable","","","",""
"AssessmentItem","ItemComment","varchar(255)","nullable","","","",""
"AssessmentItem","LoadCommandID","int8","nullable","","","",""
"AssessmentItem","PropertyCategory","varchar(9)","nullable","","typekey.PropertyLineItemCategory","",""
"AssessmentItem","VehicleCategory","varchar(10)","nullable","","typekey.VehicleLineItemCategory","",""
"AssessmentItem","AssessmentSource","varchar(100)","nullable","","","entity.AssessmentSource",""
"AssessmentItem","PMT_PayloadId","varchar(256)","not null","","","",""
"AssessmentLine","PMT_ID","varchar(100)","not null","primary key","","",""
"AssessmentLine","PMT_Parent","varchar(100)","nullable","","","entity.AssessmentSource",""
"AssessmentLine","AbstractReadyFlag_Ext","bool","nullable","","","",""
